State / UT,Main hazards,Examples of high‑risk districts / cities
Assam,"Floods, river erosion, cyclones, landslides, drought","Brahmaputra valley districts such as Barpeta, Darrang, Dhemaji, Goalpara, Golaghat, Sivasagar; dual flood–drought risk in Charaideo, Dibrugarh, Sibsagar, South Salmara‑Mankachar, Golaghat.pib.gov+2"
Bihar,"Severe river floods, drought, heat stress","Sitamarhi, Madhubani, Supaul, Kishanganj, Katihar, Saharsa, Darbhanga, Lakhisarai, Nalanda, Patna; dual flood–drought risk in Patna and several north Bihar districts.pib.gov+2"
Uttar Pradesh,"Floods in Indo‑Gangetic plains, drought in plateau pockets","Flood‑prone: Paschim Champaran–adjacent Ganga plains; drought hotspots include Jhansi, Lalitpur, Banda, Mirzapur and neighbouring districts; multiple districts in “high drought risk” category.geographynotes+2"
West Bengal,"Floods, cyclones, river erosion, drought pockets","Murshidabad, Malda, Nadia, North & South 24 Parganas (flood and cyclone risk); Purulia (drought pocket); dual flood–drought risk in Murshidabad, Nadia, Uttar Dinajpur.jhanjhar+2"
Odisha,"Cyclones, storm surge, floods, drought","Coastal districts Puri, Kendrapara, Bhadrak, Balasore (cyclone + flood); inland drought‑prone pockets include Mayurbhanj, Kalahandi and parts of Balasore.jhanjhar+2"
Gujarat,"Drought, heat, cyclones, coastal floods","Kutch and Saurashtra region (Kutch, Jamnagar, Rajkot, Morbi, Junagadh, Devbhoomi Dwarka) are major drought and dryness hotspots; Rajkot and Surendranagar identified as districts shifting from flood to drought risk.byjus+2"
Rajasthan,"Extreme drought, heat waves, dust storms","Western desert and semi‑arid districts including Bikaner, Jaisalmer, Barmer, Jodhpur, Churu, Ajmer, Jalor, Nagaur, Ganganagar, Hanumangarh; several listed among India’s most drought‑vulnerable.geographynotes+2"
Maharashtra,"Drought (Marathwada/Vidarbha), floods, heat","Drought‑hotspot districts such as Ahmednagar, Aurangabad, Nanded, Beed; Marathwada and Vidarbha regions broadly; flood‑drought hotspot Aurangabad and several central districts.indianexpress+2"
Madhya Pradesh,"Semi‑arid drought, heat",North‑west and central MP included in severe and moderate drought zones; districts like Rajkot‑linked drought hotspots in regional studies; many districts marked “high” in climate‑risk vulnerability lists.geographynotes+2
Karnataka,"Drought (north Karnataka), heat waves","North Karnataka districts such as Bagalkot, Bijapur (Vijayapura), Gulbarga (Kalaburagi), Hassan and adjoining areas are highlighted as drought‑affected hotspots.indianexpress+2"
Telangana,"Drought, shifting flood–drought risk",Khammam and Mahabubnagar repeatedly cited as major drought‑prone districts; Mahbubnagar and Nalgonda also show shifting from flood to drought in recent decades.byjus+2
Andhra Pradesh,"Cyclones, floods, drought (Rayalaseema)","Coastal flood‑prone districts such as Guntur, Kurnool, Srikakulam and others; inland drought hotspots like Anantapur and Chittoor (Rayalaseema); coastal districts also exposed to cyclones.indianexpress+2"
Tamil Nadu,"Cyclones, coastal floods, drought pockets","Coastal Chennai and nearby districts (cyclone and flood hotspot); interior drought pockets including Coimbatore, Tiruchirappalli and Tirunelveli; districts simultaneously facing flood and drought in recent assessments.geographynotes+2"
